codigo_rastreio|tipo_ocorrencia|descricao_ocorrencia|data_ocorrencia|hora_ocorrencia|cpf_destinatario|nome_destinatario|cep_destino|cidade_destino|uf_destino|peso_gramas|valor_declarado
AA100000000BR|EXT|OBJETO EXTRAVIADO|27/02/2024|06:47|433.218.196-00|PEDRO OLIVEIRA|40020-010|SALVADOR|BA|2005|252.68
AA100000001BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|14/10/2024|12:45|863.794.026-54|CARLOS LIMA|40020-010|SALVADOR|BA|2857|51.11
AA100000002BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|19/02/2024|17:54|594.078.161-84|NATALIA ROCHA|57020-480|MACEIO|AL|3062|288.68
AA100000003BR|EXT|OBJETO EXTRAVIADO|05/02/2024|07:42|341.316.475-25|CAMILA MARTINS|40020-010|SALVADOR|BA|2287|350.91
AA100000004BR|EXT|OBJETO EXTRAVIADO|27/11/2024|08:38|283.276.483-50|JULIANA ALVES|59010-000|NATAL|RN|362|402.52
AA100000005BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|17/05/2024|08:13|953.767.242-38|ISABELA FREITAS|60150-160|FORTALEZA|CE|4888|214.22
AA100000006BR|RDE|OBJETO RETORNOU AO REMETENTE|23/07/2024|17:14|287.101.226-91|DIEGO NASCIMENTO|69005-010|MANAUS|AM|4981|498.06
AA100000007BR|RDE|OBJETO RETORNOU AO REMETENTE|08/05/2024|06:43|184.514.627-04|GABRIEL MENDES|29010-330|VITORIA|ES|1563|253.84
AA100000008BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|16/11/2024|15:53|893.252.880-95|AMANDA RIBEIRO|01310-100|SAO PAULO|SP|1016|464.55
AA100000009BR|OEC|OBJETO EM ROTA DE ENTREGA|02/05/2024|07:15|911.718.227-82|RAFAEL RODRIGUES|90010-160|PORTO ALEGRE|RS|3566|482.18
AA100000010BR|RDE|OBJETO RETORNOU AO REMETENTE|19/12/2024|12:45|465.787.133-15|JOAO DA SILVA|74110-010|GOIANIA|GO|4637|115.06
AA100000011BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|04/01/2024|08:45|031.051.834-73|ISABELA FREITAS|30130-110|BELO HORIZONTE|MG|4777|288.11
AA100000012BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|30/08/2024|19:12|116.566.701-06|BRUNO FERREIRA|29010-330|VITORIA|ES|995|124.33
