NR_CONHECIMENTO,DT_OCORRENCIA,HR_OCORRENCIA,CD_OCORRENCIA,DS_OCORRENCIA,NR_CPF_CNPJ,NM_DESTINATARIO,NR_CEP,NM_CIDADE,SG_UF,VL_FRETE,VL_MERCADORIA,NR_TENTATIVA
JL9000000000,2024-01-30,08:19:00,E,EXTRAVIO,18941843368750,LEONARDO BARBOSA,30130110,BELO HORIZONTE,MG,62.47,203.64,1
JL9000000001,2024-03-28,11:13:00,E,EXTRAVIO,21374556114,MARIA SOUZA,88010400,FLORIANOPOLIS,SC,61.71,365.36,1
JL9000000002,2024-03-07,22:34:00,T,EM TRANSFERENCIA,05053766608,ANA COSTA,20040020,RIO DE JANEIRO,RJ,61.74,213.26,1
JL9000000003,2024-01-10,07:12:00,D,ENTREGUE,35669106271,BRUNO FERREIRA,88010400,FLORIANOPOLIS,SC,23.33,476.39,1
JL9000000004,2024-04-21,14:57:00,V,TENTATIVA SEM SUCESSO - AUSENTE,68826917768,CARLOS LIMA,74110010,GOIANIA,GO,23.18,262.25,2
JL9000000005,2024-05-15,15:47:00,D,ENTREGUE,48087354378826,MARIA SOUZA,40020010,SALVADOR,BA,24.83,187.15,1
JL9000000006,2024-03-04,07:06:00,R,DEVOLVIDO AO REMETENTE,09085991449,FERNANDA SANTOS,57020480,MACEIO,AL,9.14,497.68,1
JL9000000007,2024-05-10,11:25:00,E,EXTRAVIO,96996489971,GABRIEL MENDES,60150160,FORTALEZA,CE,18.45,391.77,1
JL9000000008,2024-10-23,18:40:00,E,EXTRAVIO,59140849932,LUCAS PEREIRA,20040020,RIO DE JANEIRO,RJ,21.32,390.17,1
JL9000000009,2024-04-24,15:49:00,S,SAIU PARA ENTREGA,66980690872,DIEGO NASCIMENTO,66015110,BELEM,PA,16.48,381.90,1
JL9000000010,2024-01-16,20:11:00,R,DEVOLVIDO AO REMETENTE,83893595382,ISABELA FREITAS,29010330,VITORIA,ES,9.26,409.39,1
JL9000000011,2024-05-25,06:57:00,V,TENTATIVA SEM SUCESSO - AUSENTE,12996508269,CAMILA MARTINS,90010160,PORTO ALEGRE,RS,56.71,217.07,2
JL9000000012,2024-05-16,08:50:00,E,EXTRAVIO,65613087612,LUCAS PEREIRA,29010330,VITORIA,ES,46.05,285.75,1
JL9000000013,2024-03-02,14:53:00,S,SAIU PARA ENTREGA,68239484002,AMANDA RIBEIRO,29010330,VITORIA,ES,24.11,3.26,1
JL9000000014,2024-09-20,19:38:00,T,EM TRANSFERENCIA,61016831139,BRUNO FERREIRA,59010000,NATAL,RN,77.80,427.22,1
JL9000000015,2024-01-25,08:24:00,E,EXTRAVIO,41491507628397,LARISSA CARVALHO,66015110,BELEM,PA,18.34,364.99,1
JL9000000016,2024-04-22,14:17:00,D,ENTREGUE,77946207266,CARLOS LIMA,74110010,GOIANIA,GO,17.88,9.73,1
JL9000000017,2024-02-17,21:46:00,R,DEVOLVIDO AO REMETENTE,60299140688,RAFAEL RODRIGUES,20040020,RIO DE JANEIRO,RJ,77.86,99.22,1
JL9000000018,2024-08-20,13:05:00,S,SAIU PARA ENTREGA,55235617817,JOAO DA SILVA,40020010,SALVADOR,BA,69.17,449.56,1
JL9000000019,2024-03-25,09:05:00,E,EXTRAVIO,61363852778956,ANA COSTA,40020010,SALVADOR,BA,23.71,37.17,1
